locus_tag.d6,locus_tag.168,title,description,function,strand,cor,P_value
A8O17_RS01585,BSU_02800,ycdC,unknown,unknown,+,-0.9956600801475809,0.001
A8O17_RS00185,BSU_00250,xpaC,hydrolysis of 5-bromo-4-chloroindolyl phosphate,unknown,+,-0.9947384828638138,0.002
A8O17_RS03570,BSU_06710,swrC,similar to acriflavin resistance protein,unknown,+,-0.9884800178660402,0.002
A8O17_RS19065,BSU_38780,yxkI,similar to heat shock protein,unknown,+,-0.9878188279489808,0.001
A8O17_RS17980,BSU_36700,moaA,molybdopterin precursor biosynthesis,nitrate respiration,-,-0.9876219578843011,0.004
A8O17_RS14330,BSU_29890,ytnP,lactonase-homolog protein,BSU_29890,-,-0.9856243045368431,0.001
A8O17_RS11595,BSU_24090,ptb,phosphate butyryltransferase,utilization of branched-chain keto acids,-,-0.9826558245580845,0.001
A8O17_RS10005,BSU_19230,azoR1,azoreductase,BSU_19230,-,-0.9776725577441189,0.004
A8O17_RS13710,BSU_28690,glcF,probable glycolate oxidase,BSU_28690,+,-0.9774791387597468,0.005
A8O17_RS17345,BSU_35490,degU,two-component response regulator,[wiki|genetic competence],-,-0.9764274043184432,0.005
A8O17_RS04100,BSU_07750,yflA,general stress protein,required for protection against paraquat stress,+,-0.9753794964418097,0.005
A8O17_RS05380,BSU_10070,sndC,sulphur compound N-deacetylase,unknown,-,-0.9728604570344314,0.002
A8O17_RS16760,BSU_34350,epsC,UDP-N-acetylglucosamine 4,required for extracellular polysaccharide synthesis,-,-0.9709517453790334,0.001
A8O17_RS18340,BSU_37390,albC,[wiki|ABC transporter ](ATP-binding protein),BSU_37390,+,-0.9694575773475038,0.001
A8O17_RS18785,BSU_38240,ywcA,similar to Na+-dependent acetate symporter,unknown,+,-0.9686948105928368,0.004
A8O17_RS13650,BSU_28580,rqcU,ribosome quality control (RQC) upstream factor,NA,-,-0.9684401455924952,0.001
A8O17_RS07970,BSU_15300,bpr,bacillopeptidase F,protein degradation,+,-0.9678725143576131,0.001
A8O17_RS15290,BSU_31520,malK,two-component sensor kinase,BSU_31520,+,-0.9677837323390335,0.005
A8O17_RS03985,BSU_07500,fecE,iron/citrate [wiki|ABC transporter] (permease),iron uptake,-,-0.967184680938775,0.005
A8O17_RS05175,BSU_09660,yheN,putative polysaccharide deacetylase,unknown,-,-0.9669397747642314,0.002
A8O17_RS01975,BSU_03550,ycxC,unknown,unknown,-,-0.966337100710019,0.003
A8O17_RS01145,BSU_01750,cdaA,diadenylate cyclase,BSU_01750,+,-0.9643297926018894,0.001
A8O17_RS15770,BSU_32480,pucD,xanthine dehydrogenase,purine utilization,-,-0.9614539626087487,0.005
A8O17_RS03900,BSU_07350,yfmT,vanillin dehydrogenase,unknown,+,-0.960652780284111,0.005
A8O17_RS06085,BSU_11440,oppB,oligopeptide [wiki|ABC transporter] (permease),initiation of [wiki|sporulation],+,-0.957649454382831,0.003
A8O17_RS14400,BSU_30035,ytzG,similar to 16S pseudouridylate synthase,16S rRNA modification,-,-0.9566539262410375,0.003
